SAMPLE,SIO2,TIO2,AL2O3,FEOT,MNO,MGO,CAO,NA2O,K2O,P2O5,S,CL,H2O,CO2,FO,FE3FET,FEOTI,VBVOLP,DMI,DHOST,CR,SIO2err,TIO2err,AL2O3err,FEOTerr,MNOerr,MGOerr,CAOerr,NA2Oerr,K2Oerr,P2O5err,Serr,CLerr,H2Oerr,CO2err,FOerr,FE3FETerr,FEOTIerr,VBVOLPerr,DMIerr,DHOSTerr,CRerr
M-127-1,49.66848465,1.168135333,16.50184455,9.919200371,0.185898241,4.380435345,7.901059264,3.372092032,0.79127506,0.22319142,1932.81795,1110.594796,4.145358308,294.1078938,73.41902884,0.2,,,132,583,1.53,2.483424233,0.058406767,0.825092228,0.495960019,0.009294912,0.219021767,0.395052963,0.168604602,0.039563753,0.011159571,96.6408975,55.5297398,0.207267915,14.70539469,2,0.01,,,13.2,58.3,0.31
M-127-5,51.32944693,1.134911104,17.48430104,9.192767589,0.191647844,3.868681236,7.393081339,3.614017197,0.850556753,0.261534678,1599.02715,1146.977028,4.115875311,244.7403528,73.1753471,0.2,,,81,566,1.53,2.566472347,0.056745555,0.874215052,0.459638379,0.009582392,0.193434062,0.369654067,0.18070086,0.042527838,0.013076734,79.9513575,57.3488514,0.205793766,12.23701764,2,0.01,,,8.1,56.6,0.31
M-127-6,52.64515779,0.94725618,17.98682806,7.940362015,0.141681615,1.948792697,7.946183787,3.734388302,0.88374195,0.272655587,1880.77275,1342.245299,3.623680611,411.2205324,73.21933154,0.2,,,41,668,1.53,2.63225789,0.047362809,0.899341403,0.397018101,0.007084081,0.097439635,0.397309189,0.186719415,0.044187098,0.013632779,94.0386375,67.11226495,0.181184031,20.56102662,2,0.01,,,4.1,66.8,0.31
M-127-7,51.47893611,1.205713011,16.99635709,9.321167594,0.182354608,4.079474701,7.40068736,3.528947458,0.814635308,0.26165976,1684.554525,1159.021559,3.983934465,439.0669056,73.08795298,0.2,,,88,497,1.53,2.573946806,0.060285651,0.849817855,0.46605838,0.00911773,0.203973735,0.370034368,0.176447373,0.040731765,0.013082988,84.22772625,57.95107795,0.199196723,21.95334528,2,0.01,,,8.8,49.7,0.31
M-127-10,54.7350639,1.034795518,16.48881809,8.38706422,0.173926327,3.511248406,6.756322376,4.389439337,0.882483277,0.250334171,1462.580325,1132.463455,3.869762256,328.6662084,72.60509803,0.2,,,73,682,1.53,2.736753195,0.051739776,0.824440905,0.419353211,0.008696316,0.17556242,0.337816119,0.219471967,0.044124164,0.012516709,73.12901625,56.62317275,0.193488113,16.43331042,2,0.01,,,7.3,68.2,0.31
M-131-3,50.46518567,1.056827127,18.21029418,9.292778932,0.159785321,4.207991776,8.044294656,3.454880135,0.629446145,0.164004985,2140.435875,850.5878946,3.810466458,437.7754836,74.12643663,0.2,,,88,657,1.53,2.523259284,0.052841356,0.910514709,0.464638947,0.007989266,0.210399589,0.402214733,0.172744007,0.031472307,0.008200249,107.0217938,42.52939473,0.190523323,21.88877418,2,0.01,,,8.8,65.7,0.31
M-131-5,51.83435558,1.212758182,17.09906254,8.846609384,0.148017912,4.27202044,7.442127059,3.698834114,0.86802495,0.235892908,1634.120925,1117.360087,3.771687672,198.9715284,75.27828442,0.2,,,90,769,1.53,2.591717779,0.060637909,0.854953127,0.442330469,0.007400896,0.213550102,0.372106353,0.184941706,0.043401248,0.011794645,81.70604625,55.86800435,0.188584384,9.94857642,2,0.01,,,9,76.9,0.31
M-131-6,51.57107273,1.148527647,16.90755035,10.07878384,0.193498445,4.493154266,7.338158681,3.818044114,0.806667359,0.242510873,1844.553225,1270.261446,3.936423699,345.2682324,72.82841902,0.2,,,76,536,1.53,2.578553637,0.057426382,0.845377518,0.503939192,0.009674922,0.224657713,0.366907934,0.190902206,0.040333368,0.012125544,92.22766125,63.5130723,0.196821185,17.26341162,2,0.01,,,7.6,53.6,0.31
M-132-2,51.72009627,1.013598206,16.69906987,9.820553552,0.135445894,4.207832634,7.272774101,3.870350064,0.83318706,0.262455735,1676.354325,1172.471189,3.911323968,198.0046884,72.83469705,0.2,,,123,953,1.53,2.586004814,0.05067991,0.834953494,0.491027678,0.006772295,0.210391632,0.363638705,0.193517503,0.041659353,0.013122787,83.81771625,58.62355945,0.195566198,9.90023442,2,0.01,,,12.3,95.3,0.31
M-132-3,48.35941324,0.92820834,18.71475856,8.660263169,0.145951073,4.546678181,9.226926462,2.992057683,0.608048698,0.177030549,2518.3857,959.5322089,4.350639933,606.505638,76.26889209,0.2,,,167,801,1.53,2.417970662,0.046405042,0.935737928,0.433013158,0.007297554,0.227333909,0.461346323,0.149602884,0.030402435,0.008851527,125.919285,47.97661045,0.217531997,30.3252819,2,0.01,,,16.7,80.1,0.31
