Sample,SIO2,TIO2,AL2O3,FE2O3,FEO,MNO,MGO,CAO,NA2O,K2O,P2O5,S,CL,H2O,CO2,SUM,CO2obsvol,CO2riker,CO2vbg,FO,TcCO2,TcMGO,Teqolv,Ti,OLV ADD,KD,Pglass,Dglass,Pobsvol,Dobsvol,VBvol riker,Priker,Driker,VBvol vbg,Pvbg,Dvbg,Tg,aMgO,Rmi,CR,Initial density,,Error Messages,,SIO2 1sig,TIO2 1sig,AL2O3 1sig,FE2O3 1sig,FEO 1sig,MNO 1sig,MGO 1sig,CAO 1sig,NA2O 1sig,K2O 1sig,P2O5 1sig,S 1sig,CL 1sig,H2O 1sig,CO2 1sig,CO2obsvol 1sig,CO2riker 1sig,CO2vbg 1sig,FO 1sig,TcCO2 1sig,TcMGO 1sig,Teqolv 1sig,Ti 1sig,OLV ADD 1sig,KD 1sig,Pglass 1sig,Dglass 1sig,Pobsvol 1sig,Dobsvol 1sig,VBvol riker 1sig,Priker 1sig,Driker 1sig,VBvol vbg 1sig,Pvbg 1sig,Dvbg 1sig,Tg 1sig,aMgO 1sig,Rmi 1sig,CR 1sig,Initial density 1sig,,SIO2norm100,TIO2norm100,AL2O3norm100,FE2O3norm100,FEOnorm100,MNOnorm100,MGOnorm100,CAOnorm100,NA2Onorm100,K2Onorm100,P2O5norm100,Snorm100,CLnorm100,H2Onorm100,CO2norm100,,SIO2normANHYD,TIO2normANHYD,AL2O3normANHYD,FE2O3normANHYD,FEOnormANHYD,MNOnormANHYD,MGOnormANHYD,CAOnormANHYD,NA2OnormANHYD,K2OnormANHYD,P2O5normANHYD,,SIO2normANHYD-FEOT,TIO2normANHYD-FEOT,AL2O3normANHYD-FEOT,FEOTnormANHYD-FEOT,MNOnormANHYD-FEOT,MGOnormANHYD-FEOT,CAOnormANHYD-FEOT,NA2OnormANHYD-FEOT,K2OnormANHYD-FEOT,P2O5normANHYD-FEOT
M-127-1,49.88172885354154,1.1890234010278138,16.796923075413297,2.2440638768073047,7.666060609362152,0.18922238931960136,3.7839306341539385,8.042342434481943,3.432390257531429,0.8054242829667815,0.22718242808997133,1967.3797269486474,1130.453950153489,4.219483731562688,299.3669982202337,98.81749604179068,0,299.3669982202337,1112.7151794908452,73.41902884,786.6133376390122,1005.698201829959,1051.7255505064525,1039.6760798582711,-1.7300000000000013,0.3185484773975115,238.75,9.252313078269568,0,0,0,238.75,9.252313078269568,1.4020987787117076,405.390625,15.063765941485372,460.4922906362474,97.6763181525734,66.0,1.53,2463.9444801526956,,"['Intermediate SiO2 outside VolatileCalc calibration [1]', 'Initial SiO2 outside VolatileCalc calibration [1]']",,2.483424233,0.058406767,0.825092228,,,0.009294912,0.219021767,0.395052963,0.168604602,0.039563753,0.011159571,96.6408975,55.5297398,0.207267915,14.70539469,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,50.47864077880112,1.2032519024009338,16.997924201914355,2.27091756692385,7.757796864352964,0.1914867274511568,3.8292112082598058,8.138581482656447,3.473464108096652,0.815062428445021,0.22990101671256083,1990.9224638890134,1143.9815775896723,4.269976371166333,302.9493867094438,,52.920255254684996,1.2614523059322174,17.820101208883212,2.380760168059592,8.133035754163274,0.2007487986652597,4.014427318936666,8.532238642489473,3.641472994963381,0.8544863945688507,0.24102115865310103,,53.046740013607426,1.2644673044434698,17.862693051921976,10.299914849745251,0.20122860858456076,4.024022205983292,8.552631555232809,3.650176483479712,0.8565287034182579,0.24159722358326294
M-127-5,51.49190544709689,1.1488623605095138,17.69923238381968,2.068301021380773,7.153654557543116,0.1940037362119237,3.450852527959619,7.483963147973903,3.6584436553961113,0.8610124930092212,0.26474967639595465,1618.6837009463259,1161.0766087264108,4.166471020234453,247.74890160008448,99.94420294865846,0,247.74890160008448,1114.2827298071657,73.1753471,723.7285106648648,960.7935063294282,1033.7114044246275,1027.6946508263536,-1.2100000000000009,0.3152345148688566,228.4375,8.882220555138785,0,0,0,228.4375,8.882220555138785,1.8566470736307097,404.21875,15.023755938984745,457.4760062794096,77.66129305769624,40.5,1.53,2452.246327950176,,"['Intermediate SiO2 outside VolatileCalc calibration [1]', 'Initial SiO2 outside VolatileCalc calibration [1]']",,2.566472347,0.056745555,0.874215052,,,0.009582392,0.193434062,0.369654067,0.18070086,0.042527838,0.013076734,79.9513575,57.3488514,0.205793766,12.23701764,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,51.52065245199702,1.1495037497069107,17.70911354699763,2.0694557166494825,7.157648314247864,0.1941120450093377,3.452779076873852,7.488141310025184,3.6604860987039554,0.861493180801617,0.26489748137964253,1619.5873829499114,1161.7248169189545,4.1687970860849,247.88721535690627,,53.93235474240272,1.2033124787128384,18.538084215452223,2.166327764152896,7.49270068668188,0.20319850725824903,3.6144050426109913,7.838664191409409,3.831834912977373,0.9018200202034268,0.2772974381379778,,54.04962305749903,1.205928912346916,18.578392670579817,9.462594722540594,0.20364033381468394,3.6222640576947396,7.855708263501624,3.840166698713752,0.9037809009176938,0.27790038239113124
M-127-6,51.7291853909805,0.8932506348772878,16.961352085371054,1.6642075937059788,7.625271664145653,0.13360397664461737,3.7184240666274553,7.493151126857111,3.5214810861828503,0.8333575167650978,0.2571107809405789,1773.544990751502,1265.7203941311898,3.4170851293556814,387.7757774468955,98.59018516868684,0,1394.6679845983472,1849.9457337705107,73.21933154,673.8676565744938,910.1439014359036,971.022217618499,1056.4226745017029,5.939999999999918,0.31775425280311453,237.1875,9.19229807451863,0,0,1.1845720699387083,396.484375,14.763690922730683,1.9720856152175572,468.828125,17.244311077769442,467.0153980998085,37.09470672912563,20.5,1.53,2493.358256249975,,"['Intermediate SiO2 outside VolatileCalc calibration [1]', 'Initial SiO2 outside VolatileCalc calibration [1]']",,2.63225789,0.047362809,0.899341403,,,0.007084081,0.097439635,0.397309189,0.186719415,0.044187098,0.013632779,94.0386375,67.11226495,0.181184031,20.56102662,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,52.46889972107505,0.9060238941117158,17.203895150770176,1.688005343390456,7.734311129549952,0.13551447988055026,3.7715965947982224,7.6003013018348655,3.5718373793067038,0.8452743194864999,0.2607874003894656,1798.9062376918998,1283.8198771668342,3.465948586574903,393.3208734555219,,54.54916104423923,0.9419454871849959,17.885986787533504,1.7549305552362686,8.040957321668564,0.1408872918267285,3.9211310154635184,7.901634337721852,3.7134518441097324,0.8787873430802727,0.27112697193532803,,54.645206286278814,0.9436039798285659,17.917478819624197,9.637064613338918,0.1411353534611288,3.928034989241295,7.9155468226794,3.719990155136746,0.8803346325610224,0.2716043478499066
M-127-7,51.72434022752709,1.2278098300019031,17.307845332129823,2.109690684669574,7.164860990116207,0.1856965780462526,3.4582061759168616,7.536318018035251,3.5936216487362995,0.8295649378449215,0.26645513692971073,1715.4269598979945,1180.2626747339057,4.056947095688572,447.1135815952456,99.79563697726516,0,447.1135815952456,1581.7975274191144,73.08795298,743.9969166785139,970.1494776101437,1044.5816518151205,1033.0781005192157,-1.7900000000000014,0.3169745441969898,258.6328125,9.962490622655665,0,0,0,258.6328125,9.962490622655665,1.405431067443984,472.734375,17.374343585896476,461.13534480190174,84.67169919509286,44.0,1.53,2468.7875519557597,,"['Intermediate SiO2 outside VolatileCalc calibration [1]', 'Initial SiO2 outside VolatileCalc calibration [1]']",,2.573946806,0.060285651,0.849817855,,,0.00911773,0.203973735,0.370034368,0.176447373,0.040731765,0.013082988,84.22772625,57.95107795,0.199196723,21.95334528,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,51.83026211788258,1.2303241576398931,17.343288600956363,2.1140109413302217,7.1795333013891804,0.18607685032218077,3.465287943103855,7.5517510046577785,3.6009807217874434,0.8312637335376776,0.26700078781040587,1718.9398373085114,1182.6796345844118,4.06525497363457,448.0291875857301,,54.215880027036455,1.2869529151378742,18.141556990878136,2.2113136011221846,7.509989342383254,0.19464150441553485,3.6247865186395414,7.89933929971999,3.7667248980541115,0.8695247333652935,0.2792901692476441,,54.336218250500714,1.2898094514038652,18.18182421033615,9.520919254906667,0.1950735330544151,3.6328321386658646,7.916872768832649,3.7750855662252154,0.8714547409870315,0.2799100850874595
M-127-10,54.72362818013176,1.0340764531235995,16.477360241820687,1.862813550440121,6.722448872216945,0.1738054680373822,3.5347010004864203,6.751627502443135,4.3863891772346895,0.8818700517613286,0.25016021729939175,1461.5639984675322,1131.6765220454859,3.867073212541745,328.4378228664243,100.95812176187516,0,344.0656233615008,1348.1242062180452,72.60509803,725.7991024779383,950.147036307228,1035.6971335562332,1047.2094130127896,0.07,0.35363094100624726,227.8125,8.862215553888472,0,0,0.022198555118178864,230.7421875,8.962240560140035,1.5664216909459263,419.140625,15.533883470867718,450.14297696411745,78.75867308048005,36.5,1.53,2441.2816048649725,,"['Intermediate SiO2 outside VolatileCalc calibration [1]', 'Initial SiO2 outside VolatileCalc calibration [1]']",,2.736753195,0.051739776,0.824440905,,,0.008696316,0.17556242,0.337816119,0.219471967,0.044124164,0.012516709,73.12901625,56.62317275,0.193488113,16.43331042,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,54.204285128447246,1.024262768638489,16.320985329625096,1.8451349113188196,6.658650889002121,0.17215600389964505,3.5011556661320835,6.687552605592108,4.344761075865342,0.8735008500270548,0.24778612451748266,1447.69333359316,1120.9365846907438,3.8303735698082977,325.320852978123,,56.53332742684732,1.0682731509760184,17.02226319159093,1.9244164154385164,6.944758888286965,0.17955317949297045,3.6515928431999387,6.974902449876382,4.531446174620052,0.9110333148973228,0.25843296477356736,,56.642497927064376,1.0703360742032315,17.05513458041652,8.693194193642094,0.17989991143522477,3.6586443690064994,6.9883715595869935,4.540196769501098,0.9127925950817491,0.2589320200622095
M-131-3,50.664606849166994,1.074172859359053,18.509180233315607,2.099312725876953,7.1830833697927945,0.16240788181639298,3.6426558528145705,8.176325882825555,3.5115851765562605,0.6397772616856598,0.16669680327631162,2175.5669071914795,864.5486168322767,3.8730077475401736,444.9607045106671,100.05132026687978,0,444.9607045106671,1502.4812885073661,74.12643663,753.9766773160494,985.246404234416,1045.2838118061784,1035.6876635719293,-1.6100000000000012,0.3155480455321086,245.46875,9.492373093273319,0,0,0,245.46875,9.492373093273319,1.239436134540683,446.875,16.484121030257565,469.3183005151816,74.13367763846624,44.0,1.53,2483.0374962299206,,"['Intermediate SiO2 outside VolatileCalc calibration [1]', 'Initial SiO2 outside VolatileCalc calibration [1]']",,2.523259284,0.052841356,0.910514709,,,0.007989266,0.210399589,0.402214733,0.172744007,0.031472307,0.008200249,107.0217938,42.52939473,0.190523323,21.88877418,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,50.63861897476491,1.0736218737481658,18.499686145014063,2.0982359056104265,7.179398883125611,0.1623245764105676,3.640787391008979,8.172131922912948,3.5097839460682345,0.6394490947036976,0.16661129791357052,2174.4509731488893,864.1051557602186,3.871021129165713,444.73246662189564,,52.86936241171951,1.1209172976187913,19.3146383354416,2.1906678492610907,7.495667321405744,0.1694753338920218,3.8011721475894786,8.532132452588725,3.664397710450751,0.6676182450509391,0.17395089498134203,,52.985613855317574,1.1233820191145314,19.357108198641082,9.48774957337364,0.16984798359537523,3.809530329518756,8.55089327491261,3.67245514682458,0.6690862329596107,0.17433338574223448
M-131-5,52.09242554651211,1.2362101909517635,17.429719857927576,2.0042701933293845,6.79580569222368,0.15088024469646608,3.5907135482086128,7.586041017279797,3.7703612263626334,0.8848105954814288,0.24045454499588512,1665.7211393957202,1138.9673118792853,3.8446236079185097,202.81918915747067,99.9270670299311,0,202.81918915747067,824.7884280815492,75.27828442,755.846144792327,980.2826532727867,1048.4216197294727,1031.0030063620968,-1.8900000000000015,0.3094871962239412,190.078125,7.511877969492373,0,0,0,190.078125,7.511877969492373,1.3471401011803497,327.5,12.4031007751938,464.51073983362494,81.42070008841515,45.0,1.53,2448.5213509919326,,"['Intermediate SiO2 outside VolatileCalc calibration [1]', 'Initial SiO2 outside VolatileCalc calibration [1]']",,2.591717779,0.060637909,0.854953127,,,0.007400896,0.213550102,0.372106353,0.184941706,0.043401248,0.011794645,81.70604625,55.86800435,0.188584384,9.94857642,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,52.13044582896534,1.2371124538074176,17.44244114830956,2.005733034002736,6.800765692630743,0.1509903664552398,3.593334273618867,7.591577780430156,3.773113069788488,0.8854563851217628,0.2406300436335852,1666.9368859758363,1139.7986008516903,3.8474296526354888,202.96721917868396,,54.38662034563435,1.2906539409009983,18.197339569021874,2.092539960101261,7.095098764323463,0.1575251392092749,3.748851631836195,7.92013672630436,3.936411146779757,0.9237784078853505,0.25104436800311497,,54.50083999064963,1.2933644979098808,18.235556572626567,8.99691983801522,0.15785596442634342,3.7567247539364854,7.93677014091262,3.944678170561746,0.9257184740477796,0.25157159691372155
M-131-6,51.9009118220469,1.177749667860346,17.337729623712384,2.297105689927166,7.668178296711599,0.19842163131685017,3.6261478881957148,7.5248636563768025,3.915186716562905,0.8271914190464694,0.24868108388536905,1891.4842439961571,1302.5807432934203,4.036578236635905,354.0529016380124,101.11355752117117,0,354.0529016380124,1417.8281382020884,72.82841902,727.037880761522,955.4013105907867,1058.3704030740973,1039.0638400062608,-2.4999999999999907,0.3146093027205797,233.1640625,9.052263065766441,0,0,0,233.1640625,9.052263065766441,1.5947608884311828,443.828125,16.384096024006002,459.6915169498443,94.10902658549372,38.0,1.53,2472.811274565445,,"['Intermediate SiO2 outside VolatileCalc calibration [1]', 'Initial SiO2 outside VolatileCalc calibration [1]']",,2.578553637,0.057426382,0.845377518,,,0.009674922,0.224657713,0.366907934,0.190902206,0.040333368,0.012125544,92.22766125,63.5130723,0.196821185,17.26341162,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,51.32933020498253,1.1647791816777375,17.146790251230364,2.271807803267329,7.583729110812894,0.19623642583765744,3.586213339824851,7.441992785983468,3.8720690009775818,0.8180816097517605,0.24594237408104266,1870.653441898845,1288.2354999928527,3.992123643548716,350.1537383489655,,53.659789855707196,1.217662608639747,17.925290626363886,2.37495266018584,7.928046377845144,0.20514597269109935,3.749034975212976,7.7798749254826305,4.04786908517046,0.8552242370744387,0.2571086756265802,,53.78772857882332,1.2205658290913093,17.968029123856876,10.08913834641667,0.20563509338779032,3.757973637644123,7.798424145795381,4.0575202448841035,0.8572633113452007,0.2577216887552226
M-132-2,51.97829719289488,1.0330258344589134,17.01914080454129,2.224552336502237,7.5530450940794385,0.13804198433376427,3.559550041571578,7.412171302241531,3.9445330317718716,0.8491567495107314,0.2674862219092192,1708.4849945284273,1194.9439346144222,3.9862922822520748,201.7998426303323,100.27581575324486,0,201.7998426303323,758.9087602527261,72.83469705,789.5387131991657,1007.2529227971021,1049.9122715402668,1033.2220719225684,-1.8800000000000014,0.31334915604285163,199.9609375,7.861965491372843,0,0,0,199.9609375,7.861965491372843,1.240853415570307,324.8828125,12.313078269567391,456.80179418853777,88.44765993429958,61.5,1.53,2449.046964507483,,"['Intermediate SiO2 outside VolatileCalc calibration [1]', 'Initial SiO2 outside VolatileCalc calibration [1]']",,2.586004814,0.05067991,0.834953494,,,0.006772295,0.210391632,0.363638705,0.193517503,0.041659353,0.013122787,83.81771625,58.62355945,0.195566198,9.90023442,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,51.83532719474576,1.0301844235313393,16.972328448986527,2.218433547303505,7.532269907098739,0.13766229005152456,3.5497592463678296,7.391783598630738,3.9336833135104454,0.8468210835604728,0.26675048205784707,1703.7856852070952,1191.6571564522571,3.9753277022062834,201.2447778304932,,54.155905845350276,1.07630401240652,17.732150469628817,2.317749010449249,7.869476705684858,0.14382519455267093,3.708675876544752,7.722701066257138,4.109787565370881,0.8847318103512822,0.2786924434035575,,54.281910148284254,1.0788082441188582,17.773407784497234,9.978258737527517,0.14415983198696491,3.717304836052263,7.740669440147884,4.119349789643523,0.8867903118813865,0.27934087586010825
M-132-3,48.576059227801196,0.9483445184311035,19.120749005700137,1.9665865818490442,6.6315149378272045,0.14911727688062773,3.7791925182482022,9.427091693880488,3.0569661790613933,0.6212394619159203,0.18087097853376205,2573.018546558499,980.3479147455231,4.445020966012882,619.6629273928514,99.32005628501165,0,619.6629273928514,1652.9934688900557,76.26889209,809.9588866421672,1038.9601511687379,1043.6462458895987,1025.9840195509182,-2.099999999999999,0.31622321129719416,299.453125,11.412853213303325,0,0,0,299.453125,11.412853213303325,1.2898332997563686,475.15625,17.454363590897724,466.69044643602706,86.83578835319798,83.5,1.53,2469.1806809205564,,[],,2.417970662,0.046405042,0.935737928,,,0.007297554,0.227333909,0.461346323,0.149602884,0.030402435,0.008851527,125.919285,47.97661045,0.217531997,30.3252819,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,48.90861024927932,0.9548368717288149,19.251649385730005,1.9800498060589813,6.676914196259839,0.15013813167072376,3.8050648173248356,9.491629431650985,3.0778941267300906,0.6254924585757321,0.182109218720869,2590.6333955096566,987.0593628464013,4.4754515173222655,623.9051311193875,,51.426239021190035,1.003988233186302,20.242650891461096,2.0819752203396655,7.020616280665938,0.15786667022719814,4.0009350457826836,9.98022232414257,3.2363323806664686,0.6576904254019647,0.1914835069360733,,51.53369502591502,1.0060860837462982,20.28494825621575,8.912659813542856,0.15819653533078587,4.009295067891375,10.00107616913749,3.2430947524480263,0.6590646807782999,0.19188361499409406
